Sluisnaam;lng;lat;Beheerder
Tersoalstersluis;5.767999935676262;53.04999999584086; 
Kwaadmechelen duwvaartsas;5.108099925626735;51.09740001074379; 
Olen duwvaartsas;4.8607999275696745;51.158600010853924; 
Genk middensas;5.491899922158092;50.93590001107198; 
sluis Wijnegem;4.53779992998525;51.22670001108279; 
Genk duwvaartsas;5.492699922146702;50.935200011076155; 
Hasselt noordersas;5.3687999230198855;50.94110001129797; 
Vierselsluis;4.667899928963378;51.18850001106703; 
sluis Ivoz-Ramet;5.461299920593285;50.592100013691365; 
Helwerdersluis;6.601899933680106;53.38549999076287; 
Vierselsluis;4.667899928963378;51.18850001106703; 
Vlaardinger Driesluizen;4.344399935255109;51.91320000709902; 
Akerschutsluis (sluisnr. 102);4.793299935647677;52.34390000324773;HHRS Amstel, Gooi en Vecht
Boudewijnsluis;4.332799931521814;51.27770001118835; 
Royerssluis;4.402599930897948;51.241300011279435; 
sluis Lanaken;5.654899920750433;50.885100011092916; 
Lanaken;5.654899920750433;50.885100011092916; 
sluis Neerharen;5.6829999206416755;50.901700010905756; 
Neerharen;5.6829999206416755;50.901700010905756; 
Zandkreeksluis;3.863799935756936;51.543900010500174;RWS Zee en Delta
Mallegatsluis;4.811199936393628;52.455700002503285; 
Doorslagsluis;5.090399931609589;52.03200000443201;HHRS De Stichtse Rijnlanden
Helsluis;4.782199931989475;51.810600006665794;RWS West-Nederland Zuid
sluis Schijndel;5.444199926756955;51.64860000609392;RWS Zuid-Nederland
Grevelingensluis;4.094899935155282;51.666900009221976;RWS Zee en Delta
Prinses Beatrixsluizen;5.109999931351768;52.01360000449818;RWS Midden-Nederland
Ganzensluis;5.915699930540972;52.5676999985021;Provincie Overijssel
Krammerjachtensluis;4.1609999347617865;51.665000009080075;RWS Zee en Delta
sluis 10;5.701299923544999;51.41630000708648;RWS Zuid-Nederland
Wilhelminasluis Andel;5.048399930245869;51.79430000610347;RWS Zuid-Nederland
sluis Helmond;5.693799923914934;51.4665000067465;RWS Zuid-Nederland
Beurssluis;4.396799934982062;51.917800006942485;Gemeente Schiedam
Demmerikse sluis;4.97259993367035;52.22050000353182;HHRS Amstel, Gooi en Vecht
Bergsluis;4.463899934725756;51.93840000664553;Gemeente Rotterdam
Gaarkeukensluis;6.311299934173485;53.24889999269753;RWS NN
sluis Hengelo;6.804699921912885;52.24609999797849;RWS Oost-Nederland
Zanderijsluis;5.063699933558942;52.27960000289822;HHRS Amstel, Gooi en Vecht
Oranjesluis;6.968399924890721;52.72399999400417;Provincie Drenthe
Groote Zeesluis Muiden;5.069299933914538;52.33030000255581;HHRS Amstel, Gooi en Vecht
Friesche Sluis Zoutkamp;6.293599935131766;53.33489999220625;Provincie Friesland
Koninginnensluis;5.093399931418443;52.007700004578105;RWS Midden-Nederland
Joustersluis;5.765099935044066;52.97859999629735;Provincie Friesland
sluis Vlissingen;3.5952999367066205;51.442900011679896;Provincie Zeeland
Willem Loresluis;6.158899935794724;53.31679999279539;Provincie Friesland
Koppelsluis (Nwe Pekela);6.922999928045725;53.02779999202674;WS Hunze en Aa's
Voorstersluis;5.930599931308018;52.66859999778024;Provincie Flevoland
sluis 15;5.750599922330178;51.27300000800784;RWS Zuid-Nederland
Nanningaverlaat (Verlaat nr. V);6.279099931957683;52.992599994493325;Provincie Friesland
sluis 9;5.684799923853122;51.44730000690888;Gemeente Helmond
Molenkolksluis;4.881799938703407;52.79740000021239;Provincie Noord-Holland
Goejanverwellesluis;4.810799933186011;52.014500005277384;HHRS De Stichtse Rijnlanden
sluis de Haandrik;6.69499992584823;52.61949999565094;Provincie Overijssel
Noordscheschutsluis;6.5356999278561645;52.726099995435355;Provincie Drenthe
Larsersluis;5.587899931373611;52.41460000051709;Provincie Flevoland
sluis Heumen;5.851699924876096;51.76960000417384;RWS Oost-Nederland
sluis Lammerburen;6.356099934544773;53.31459999210865;Provincie Groningen
Ericasluis;6.914799925142075;52.71069999427647;Provincie Drenthe
Nieuw-Bovensas of Roosendaalsche Sas (sluis Bovensas);4.375599933095615;51.59700000901924;WS Brabantse Delta
sluis Maasbracht;5.877699920649375;51.14170000867304;RWS Zuid-Nederland
Snellesluis;4.654899933870052;51.977800005915185;HHRS Schieland
Zuidersluis Almere;5.222599933652013;52.41750000156696;Provincie Flevoland
sluis Waalwijk;5.056999929620693;51.70700000666973;Gemeente Waalwijk
Jipsinghuizersluis;7.166299925826625;52.971899991554224;WS Hunze en Aa's
sluis Weesp;5.041999933916887;52.30890000277544;Gemeente Weesp
Koopvaardersschutsluis;4.787299940489883;52.94699999960871;Provincie Noord-Holland
sluis 8;5.663099924123914;51.465600006829746;Gemeente Helmond
sluis Oude Schoterzijl;5.819099933283797;52.81779999716084;Provincie Friesland
sluis Delden;6.677799922813782;52.246699998372556;RWS Oost-Nederland
Scheemderverlaat;6.965999929197672;53.17709999083464;WS Hunze en Aa's
Noordersluis Lelystad;5.4193999331296645;52.50290000043696;Provincie Flevoland
sluis De Punt;6.60479993100641;53.116799992539704;Provincie Drenthe
sluis Sambeek;5.982199923104;51.64060000474681;RWS Zuid-Nederland
Oude Zeesluis;5.358799936682708;52.88609999819591;Gemeente Sudwest Fryslan
Prins Bernhardsluis;5.454299928408763;51.90140000432854;RWS Midden-Nederland
Coevordersluis;6.705099925805179;52.62349999559601;Provincie Overijssel
sluis I, Nieuwehorne;6.0854999326797685;52.93689999550671;Provincie Friesland
sluis Bodegraven;4.747499934054828;52.08480000499446;HHRS De Stichtse Rijnlanden
Manderssluis;4.378399933415034;51.652500008656396;WS Brabantse Delta
Rijnlandsluizen;4.681799936818004;52.41320000313122;HHRS van Rijnland
Zeeburgerschutsluis;4.953099934888591;52.36740000265366;Gemeente Amsterdam
Lingesluis Gorinchem;4.975599930919506;51.82700000607162;Gemeente Gorinchem
Spooldersluis;6.053899929168005;52.50919999846784;RWS Oost-Nederland
Gorredijk, Verlaat Nr.I;6.0644999334045915;53.00259999514782;Provincie Friesland
sluis 4;5.531499925923657;51.60870000614417;RWS Zuid-Nederland
Kolksluis;4.653799933883029;51.97910000591267;HHRS Schieland
sluis Barnflair;7.082699925268821;52.85119999270378;WS Hunze en Aa's
sluis Nr. 3 (Bovenverlaat);6.942299928148389;53.052499991785325;WS Hunze en Aa's
Raaisluis;5.122299932758806;52.2185000031326;WS Plassenschap Loosdrecht en omstreken
sluis Ternaaien (Lanaye (B));5.6899999200167315;50.79500001168927;RIJKB Ministerie van de Vlaamse Gemeenschap
sluis Arkelsche Dam;4.997999931010691;51.86320000577763;Provincie Zuid-Holland
sluis Macharen;5.5483999271291164;51.80490000473411;Gemeente Oss
Haarsluis;6.362699930276358;52.868499995042015;Provincie Drenthe
Peulensluis;4.826699931785084;51.821600006489405;WS Rivierenland
7e Verlaat;7.080999925400246;52.862999992626264;WS Hunze en Aa's
Sluis Eefde;6.234899925177731;52.16050000033218;RWS Oost-Nederland
Robbengatsluis;6.1964999364582045;53.40829999208388;Provincie Groningen
sluis Hasselt (O);6.091899929604537;52.589699997802924;Gemeente Zwartewaterland
Bulsterverlaat;7.130199927842302;53.152099990416836;WS Hunze en Aa's
Zuidersluis IJmuiden;4.59149993770451;52.464000003071575;RWS West-Nederland Noord
Oranjesluizen;4.960499934949884;52.38160000253795;RWS West-Nederland Noord
Bergsediepsluis;4.173699933776677;51.510200010029266;RWS Zee en Delta
sluis Belfeld;6.112099920101802;51.32130000675749;RWS Zuid-Nederland
jachtensluis Volkeraksluizen;4.401199933535061;51.6941000083385;RWS West-Nederland Zuid
Fochtelerverlaat Nr. VI;6.324899931477754;52.97299999446989;Provincie Friesland
Veenesluis;6.372899930327927;52.88119999491661;Provincie Drenthe
Mr H.P. Linthorst Homansluis;5.932199932733004;52.83579999667557;Provincie Friesland
Marksluis;4.832099930647127;51.64810000761301;RWS Zuid-Nederland
Ossesluis;6.341399928731412;52.67949999639438;Provincie Drenthe
Grote Merwedesluis;4.967199930990069;51.83060000607089;Provincie Zuid-Holland
sluis Lalleweer;6.9987999301865536;53.29729998989794;Provincie Groningen
sluis Linne;5.92429992052609;51.17610000830414;RWS Zuid-Nederland
Arkersluis;5.4658999309121326;52.25480000192676;Gemeente Nijkerk
sluis De Blauwe Dromer;5.614499930862802;52.37060000072434;Provincie Flevoland
Leeghwatersluis;5.238799933304223;52.38550000172221;Gemeente Almere
Meppelersluis;6.186299929885088;52.6949999967934;Gemeente Meppel
8e Verlaat;7.08169992527251;52.85049999271408;WS Hunze en Aa's
Steenenhoeksche Kanaalsluis;4.858299931602557;51.82130000640551;WS Rivierenland
sluis III Oosterwolde;6.259699932097191;52.99489999454552;Provincie Friesland
Dorkwerdersluis;6.5093999329888;53.25609999194634;RWS NN
sluis I;4.8396999305706;51.643700007617845;RWS Zuid-Nederland
Spieringsluis;4.762399931905837;51.7786000069262;RWS West-Nederland Zuid
Nieuwe Meerschutsluis (SL 109);4.846899935291822;52.33880000312905;Gemeente Amsterdam
Urkersluis;5.603199933267277;52.6577999988765;Provincie Flevoland
Prins Bernhardsluis Deventer;6.169299926277895;52.244799999929135;Gemeente Deventer
Amstelsluizen (Sl 101);4.902999935140108;52.36220000282616;Gemeente Amsterdam
Slikkendammersluis;4.856999933895045;52.154700004263354;HHRS van Rijnland
sluis Doesburg;6.131499924699924;52.00730000171126;WS Rijn en IJssel
sluis Nieuw Statenzijl;7.2081999280989715;53.23139998957815;WS Hunze en Aa's
sluis De Pol;6.320799922865682;51.93440000169248;WS Rijn en IJssel
Stevinsluis;5.046799938874425;52.930899998898994;RWS Midden-Nederland
sluis Purmerend;4.943199936041519;52.510600001787594;Provincie Noord-Holland
Johan Frisosluis;5.362999936594446;52.878899998222494;Provincie Friesland
Stokersverlaat, Benedenverlaat Nr. VII;6.3452999312242895;52.96019999448608;Provincie Friesland
Buitensluis;4.408799934829797;51.90530000698875;Gemeente Schiedam
Batjesverlaat of Boven-Wildervancksterverlaat;6.848299928804141;53.054799992104066;WS Hunze en Aa's
Damsluis (Verlaat nr.IX);6.403999930706642;52.94539999438097;Provincie Friesland
Wilhelminasluis Zaandam;4.825399936187268;52.43960000256383;Provincie Noord-Holland
Verlaat Nr. II;6.111899933244845;53.01779999489081;Provincie Friesland
Grote sluis Vianen;5.09749993130462;51.994600004658544;Provincie Zuid-Holland
Riensluis;5.715099934155599;52.84299999732707;Gemeente Lemsterland
Slootsluis;4.966599938606458;52.84499999966306;HHRS Hoogheemraadschap Hollands Noorderkwartier
Oudhuizersluis;4.886899933778644;52.16460000411617;HHRS Amstel, Gooi en Vecht
sluis Amerongen;5.409099929216638;51.976500003942164;RWS Oost-Nederland
sluis Peelo;6.570999930333468;53.02209999329686;Provincie Drenthe
Noordersluis Utrecht;5.1075999316436755;52.05190000425196;RWS Midden-Nederland
sluis Hellevoetsluis;4.1338999358892075;51.82320000816121;Gemeente Hellevoetsluis
Het Zevenhuizer Verlaat;4.557999934619656;52.004800005989985;HHRS van Schieland
Schutsluis Rustenburg;4.876799937395973;52.63440000121888;HHRS Hoogheemraadschap Hollands Noorderkwartier
Groevesluis-Zuid;6.84599993126965;53.303699990415275;RWS NN
3e Verlaat of Buinerverlaat;6.957899927382732;52.98359999220813;WS Hunze en Aa's
Noordersluis IJmuiden;4.608599937638944;52.46760000299988;RWS West-Nederland Noord
Weerdsluis;5.114499931930669;52.097800003930466;Gemeente Utrecht
sluis Weurt;5.822099925668011;51.85350000366505;RWS Oost-Nederland
Zeesluis Oudesluis;4.81019993941914;52.834900000205664;HHRS Hoogheemraadschap Hollands Noorderkwartier
Terhornstersluis (altijd open);5.767699935621607;53.04419999587065;RWS NN
sluis Nr. 1;6.977199928222745;53.08469999143426;WS Hunze en Aa's
Bovenstverlaat Nr. VIII;6.362599931045387;52.95219999448157;Provincie Friesland
Rapenburgersluis (Scharrebiersluis);4.911299935155748;52.37010000275444;Gemeente Amsterdam
Westsluis Terneuzen;3.8171999348374217;51.328200011931415;RWS Zee en Delta
Julianasluis;4.693799933791812;52.0015000056618;Provincie Zuid-Holland
Groevesluis-Noord;6.847499931287448;53.30669999038629;RWS NN
Delflandse Buitensluis;4.34719993517492;51.90330000715302;Gemeente Vlaardingen
Zeesluis Workum;5.434499936982692;52.97239999741662;Provincie Friesland
sluis Hagestein;5.134399931059515;51.99260000456533;RWS Oost-Nederland
2e Verlaat;6.920199927868564;53.007599992169;WS Hunze en Aa's
Kreekraksluis;4.2305999330850135;51.44820001030354;RWS Zee en Delta
Pondskoekersluis;4.820299934549207;52.21540000397236;HHRS Amstel, Gooi en Vecht
Haanwijkerschutsluis;4.954599932847117;52.090100004411056;HHRS De Stichtse Rijnlanden
sluis Driel;5.805199926587643;51.967000002921715;RWS Oost-Nederland
Roompotsluis;3.6847999371861047;51.61860001043089;RWS Zee en Delta
sluis Bosscherveld;5.687399920420461;50.86730001115466;RWS Zuid-Nederland
Vlagtweddersluis;7.139299926523339;53.02399999128119;WS Hunze en Aa's
sluis Panheel;5.861299920964379;51.17450000846373;RWS Zuid-Nederland
Jan B. Bronssluis;6.646099931908454;53.23639999159109;Provincie Groningen
Ter Apelersluis;7.099399925399517;52.876799992459254;WS Hunze en Aa's
sluis Termunterzijldiep;7.036699929968973;53.30159998972829;WS Hunze en Aa's
4e Verlaat of 1e Musselverlaat;6.978599927016621;52.95979999229985;WS Hunze en Aa's
sluis II;4.99189992932874;51.596700007570426;RWS Zuid-Nederland
Westerhavensluis Groningen;6.55749993225362;53.213299992059966;Gemeente Groningen
sluis Vilsteren;6.335799927418894;52.5211999974968;WS Waterschap Drents Overijsselse Delta
Rozenburgsesluis;4.229199935775511;51.891200007518634;HBDR Rotterdam nv
sluis III Tilburg;5.034199928963382;51.58190000756512;RWS Zuid-Nederland
sluis Driemond;5.018899934021329;52.30470000286028;HHRS Amstel, Gooi en Vecht
sluis Vries;6.598799930857333;53.09589999270289;Provincie Drenthe
sluis Almere-Haven;5.221799933007536;52.33340000210686;Gemeente Almere
sluis Grave;5.737899925633779;51.76920000448333;RWS Zuid-Nederland
Zeedoksluis;4.773699940675236;52.9604999995693; NV Port of Den Helder
Sluis IV;5.207099927329391;51.498300007718235;RWS Zuid-Nederland
Rogatsluis;6.2614999293534686;52.68989999658525;Provincie Drenthe
Tsjerk Hiddessluizen;5.419699938930722;53.178999996193774;Provincie Friesland
Benedensas;4.255399933974837;51.625400009113115;WS Brabantse Delta
Haveltersluis;6.241799930127478;52.76379999614476;Provincie Drenthe
sluis Veere;3.667399936846755;51.541500010929745;Provincie Zeeland
Roggebotsluis;5.85529993073668;52.54439999884305;RWS Midden-Nederland
Westfrieschesluis;4.9166999384540935;52.791200000146475;Provincie Noord-Holland
Mijndense sluis;5.022199933252328;52.20240000350752;WS Plassenschap Loosdrecht en omstreken
Grafelijkheidssluis;5.034399935138404;52.463600001816;HHRS Hoogheemraadschap Hollands Noorderkwartier
Krabbersgatsluis;5.282399935490799;52.692099999640256;RWS Midden-Nederland
Biesboschsluis;4.876599931369136;51.80440000647207;RWS West-Nederland Zuid
